,Gender,Label,Name_written,Name_spoken,segments,syllables,SCR,OCR,SCE,OCE,FVR,CVR,BVR,VE
14714,Female,1,naomi,n eɪ o m i,5,2,0.4,0.0,0,0,0.2,0.0,0.2,1
14715,Female,1,brittany,b r ɪ t ə n i,7,3,0.2857142857142857,0.2857142857142857,0,0,0.2857142857142857,0.14285714285714285,0.0,1
14716,Female,1,nathalia,n ə ɵ æ l i ə,7,3,0.2857142857142857,0.14285714285714285,0,0,0.2857142857142857,0.2857142857142857,0.0,1
14717,Female,1,helen,h e l ə n,5,2,0.4,0.2,1,0,0.2,0.2,0.0,0
14718,Female,1,allison,æ l ə s ə n,6,3,0.3333333333333333,0.16666666666666666,1,0,0.16666666666666666,0.3333333333333333,0.0,0
14719,Female,1,morgan,m ɔ r g ə n,6,2,0.5,0.16666666666666666,1,0,0.0,0.16666666666666666,0.16666666666666666,0
14720,Female,1,raquel,r ə k e l,5,2,0.4,0.2,1,0,0.2,0.2,0.0,0
14721,Female,1,martha,m ɒ r ɵ ə,5,2,0.4,0.2,0,0,0.0,0.2,0.2,1
14722,Female,1,maggie,m æ g i,4,2,0.25,0.25,0,0,0.5,0.0,0.0,1
14723,Female,1,jenny,ʤ e n i,4,2,0.25,0.25,0,0,0.5,0.0,0.0,1
14724,Female,1,kaylie,k eɪ l i,4,2,0.25,0.25,0,0,0.25,0.0,0.0,1
14725,Female,1,jasmine,ʤ æ z m ə n,6,3,0.3333333333333333,0.3333333333333333,1,0,0.16666666666666666,0.16666666666666666,0.0,0
14726,Female,1,kristin,k r ɪ s t ɪ n,7,2,0.2857142857142857,0.42857142857142855,1,0,0.2857142857142857,0.0,0.0,0
14727,Female,1,alexandra,æ l e g z æ n d r ə,10,4,0.3,0.3,0,0,0.3,0.1,0.0,1
14728,Female,1,anna,æ n ə,3,2,0.3333333333333333,0.0,0,0,0.3333333333333333,0.3333333333333333,0.0,1
14729,Female,1,erin,e r ɪ n,4,2,0.5,0.0,1,0,0.5,0.0,0.0,0
14730,Female,1,leslie,l e s l i,5,2,0.4,0.2,0,0,0.4,0.0,0.0,1
14731,Female,1,sydney,s ɪ d n i,5,2,0.2,0.4,0,0,0.4,0.0,0.0,1
14732,Female,1,elizabeth,ɪ l ɪ z ə b ə ɵ,8,4,0.125,0.375,0,1,0.25,0.25,0.0,0
